idx,col1,col2
0,0.893996664,-0.801152636
1,0.844797684,-0.835597057
2,0.787157765,-0.867034231
3,0.721652826,-0.895351019
4,0.648937371,-0.920445509
5,0.569737948,-0.94222739
6,0.484845891,-0.960618269
7,0.395109415,-0.97555196
8,0.301425136,-0.986974718
9,0.204729117,-0.994845432
10,0.105987512,-0.999135777
11,0.006186915,-0.999830312
12,-0.0936755,-0.996926538
13,-0.19260194,-0.990434905
14,-0.289603965,-0.980378775
15,-0.383712363,-0.966794341
16,-0.473986834,-0.949730491
17,-0.559525386,-0.929248637
18,-0.639473344,
19,-0.713031896,
20,-0.77946607,
21,-0.838112076,
22,-0.888383943,
23,-0.929779371,
24,-0.961884751,
25,-0.984379297,
26,-0.99703825,
27,-0.999735127,
28,-0.992442981,
29,-0.975234672,
30,-0.948282141,
31,-0.911854689,
32,-0.866316285,
33,-0.812121936,
34,-0.749813133,
35,-0.680012445,
36,-0.603417297,
37,-0.520793003,
38,-0.432965118,
39,-0.340811188,
40,-0.245251985,
41,-0.147242306,
42,-0.04776143,
43,0.052196662,0.359401156
44,0.151633222,0.414711829
45,0.249554713,0.468529987
46,0.344982736,0.520661943
47,0.436963806,0.570920079
48,0.524578878,0.619123518
49,0.606952531,0.665098782
50,0.683261715,0.708680408
51,0.752743973,0.74971155
52,0.814705063,0.78804454
53,0.868525889,0.823541421
54,0.913668692,0.856074442
55,0.949682419,0.885526519
56,0.976207233,0.911791658
57,0.992978107,0.93477533
58,0.999827472,0.954394821
59,0.996686892,0.970579522
60,0.983587745,0.983271184
61,0.960660915,0.992424132
62,0.928135479,0.998005424
63,0.88633642,0.999994975
64,0.83568138,0.998385623
65,0.776676488,0.993183162
66,0.709911302,0.984406314
67,0.636052916,0.972086666
68,0.5558393,0.956268555
69,0.470071921,0.937008911
70,0.379607739,0.914377046
71,0.285350642,0.888454412
72,0.188242416,0.8593343
73,0.089253333,0.827121514
74,-0.010627539,0.791931983
75,-0.110402224,0.753892352
76,-0.209073807,0.713139523
77,-0.305656393,0.669820161
78,-0.399184962,0.624090171
79,-0.488725006,0.576114129
80,-0.573381872,0.526064699
81,,0.474122004
82,,0.420472982
83,,0.365310712
84,,0.308833717
85,,0.251245254
86,,0.19275258
87,,0.133566204
88,,0.073899134
89,,0.013966108
90,,-0.046017182
91,,-0.105834859
92,,-0.165271646
93,,-0.224113632
94,,-0.282149052
95,,-0.33916904
96,,-0.394968385
97,,-0.449346271
98,,-0.502106996
99,,-0.553060677
100,,-0.602023938
101,,-0.648820562
102,,-0.693282133
103,,-0.735248637
104,,-0.774569039
105,,-0.81110183
106,,-0.84471553
107,,-0.875289166
108,,-0.902712706
109,,-0.926887456
110,,-0.947726412
111,,-0.965154575
112,,-0.979109225
113,,-0.989540139
114,,-0.996409777
115,,-0.999693415
116,,-0.999379237
117,,-0.995468373
118,,-0.987974898
119,,-0.97692578
120,,-0.962360784
121,,-0.944332328
122,,-0.922905296
123,,-0.898156801
124,,-0.870175912
125,,-0.839063329
126,,-0.804931025
127,,-0.767901838
128,,-0.728109033
129,,-0.685695822
130,,-0.640814847
131,,-0.59362763
132,,-0.544303995
133,,-0.493021453
134,,-0.439964566
135,,-0.385324282
136,,-0.329297247
137,-0.027438987,-0.272085097
138,-0.127097734,-0.213893735
139,-0.225486562,-0.154932586
140,-0.321622403,-0.095413848
141,-0.414544699,-0.035551722
142,-0.503325002,0.024438351
143,-0.587076248,0.084340473
144,-0.664961621,0.14393906
145,-0.736202919,0.203019622
146,-0.800088319,0.261369533
147,-0.855979502,0.318778795
148,-0.903318021,0.375040798
149,-0.941630885,0.429953059
150,-0.970535284,0.483317954
151,-0.989742415,0.534943425
152,-0.999060367,0.584643678
153,-0.998396038,0.632239846
154,-0.987756066,0.677560632
155,-0.967246762,0.720442932
156,-0.937073049,0.760732415
157,-0.897536411,0.798284083
158,-0.849031885,0.832962791
159,-0.792044114,0.864643731
160,-0.7271425,0.893212889
161,-0.654975518,0.918567444
162,-0.576264238,0.940616148
163,-0.491795116,0.95927965
164,-0.402412139,0.974490781
165,-0.309008394,0.986194798
166,-0.212517138,0.994349579
167,-0.113902482,0.998925774
168,-0.01414975,0.999906916
169,0.085744362,0.997289472
170,0.184781745,0.991082864
171,0.281972849,0.981309427
172,0.376346574,0.968004336
173,0.466959968,0.951215475
174,0.552907653,0.931003265
175,0.633330867,0.907440449
176,0.707426049,0.880611827
177,0.774452863,0.850613953
178,0.8337416,0.817554788
179,0.884699867,0.781553308
180,0.926818505,0.742739081
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
